284.024, 130.698, 7.865,  8.669 False
283.762, 130.714, 7.892,  8.702 False
283.498, 130.729, 7.924,  8.735 False
283.234, 130.743, 7.951,  8.768 False
282.968, 130.757, 7.982,  8.801 False
282.702, 130.770, 8.010,  8.834 False
282.435, 130.782, 8.040,  8.867 False
282.166, 130.794, 8.068,  8.900 False
281.897, 130.804, 8.098,  8.933 False
281.626, 130.812, 8.122,  8.966 False
281.355, 130.819, 8.152,  8.999 False
281.083, 130.823, 8.178,  9.032 False
280.809, 130.827, 8.210,  9.065 False
280.535, 130.831, 8.239,  9.098 False
280.260, 130.836, 8.265,  9.131 False
279.984, 130.840, 8.285,  9.164 False
279.707, 130.843, 8.302,  9.197 False
279.430, 130.845, 8.317,  9.230 False
279.153, 130.846, 8.329,  9.263 False
278.875, 130.847, 8.339,  9.296 False
278.597, 130.847, 8.348,  9.329 False
278.319, 130.847, 8.356,  9.362 False
278.040, 130.847, 8.363,  9.395 False
277.761, 130.847, 8.368,  9.428 False
277.482, 130.845, 8.373,  9.461 False
277.203, 130.844, 8.377,  9.494 False
276.924, 130.842, 8.381,  9.527 False
276.645, 130.839, 8.384,  9.560 False
276.365, 130.836, 8.386,  9.593 False
276.086, 130.833, 8.389,  9.626 False
275.806, 130.829, 8.391,  9.659 False
275.527, 130.825, 8.392,  9.692 False
275.247, 130.821, 8.393,  9.725 False
274.967, 130.816, 8.395,  9.758 False
274.688, 130.812, 8.395,  9.791 False
274.408, 130.806, 8.396,  9.824 False
274.128, 130.800, 8.396,  9.857 False
273.848, 130.794, 8.396,  9.890 False
273.569, 130.788, 8.396,  9.923 False
273.289, 130.781, 8.396,  9.956 False
273.009, 130.774, 8.396,  9.989 False
272.729, 130.767, 8.396, 10.022 False
272.450, 130.759, 8.395, 10.055 False
272.170, 130.751, 8.395, 10.088 False
271.890, 130.743, 8.395, 10.121 False
271.611, 130.734, 8.394, 10.154 False
271.331, 130.725, 8.393, 10.187 False
271.052, 130.717, 8.393, 10.220 False
270.772, 130.708, 8.392, 10.253 False
270.492, 130.699, 8.391, 10.286 False
270.213, 130.689, 8.391, 10.319 False
269.933, 130.680, 8.390, 10.352 False
269.654, 130.670, 8.389, 10.385 False
269.375, 130.660, 8.388, 10.418 False
269.095, 130.650, 8.387, 10.451 False
